Name,Date,Frequency,Flux Density,Uncertainty,Upper Limit,Source Paper,Instrument,"EMERLIN, VLBA, EVN make note",Explosion Date,Date Source,Distance (Mpc),Distance Uncertainty,Distance Source
1993J,49399,5,79720,4031,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49399,1.5,78700,7882,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49400,15,26100,2610,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49401,15,25700,2570,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49419,15,26500,2650,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49419,15,27400,2740,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49426,8.33,45700,2300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49426,5,71400,3600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49426,1.5,99100,5000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49431,25,15540,1929,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49431,15,29717,2276,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49431,8.33,43370,2282,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49431,5,74070,3762,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49431,1.5,91217,9123,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49433,15,28400,2840,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49449,15,21300,2130,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49454,1.5,86830,8684,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49464,8.33,42210,2111,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49464,5,65820,3291,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49464,1.5,102700,5100,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49467,25,10390,1247,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49467,15,17950,1447,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49467,8.33,39820,2009,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49467,5,64490,3274,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49467,1.5,87470,8772,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,49486,15,21800,2180,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49498,25,12320,1407,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,49498,15,26790,2061,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,49498,8.33,40290,2071,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,49498,5,73280,3757,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,49498,1.5,96810,9707,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,49523,15,23300,2330,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",Tel/VLA Camb ,,,,,,
1993J,49525,8.33,39000,2000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49525,5,59300,3000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49526,25,7196,896,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49526,5,53820,2919,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49526,1.5,104520,10534,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49526,8.33,30550,16270,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49561,0.33,31662,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49596,15,15710,1313,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49596,25,9080,1442,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49596,8.33,30770,1674,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49596,5,57430,3041,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49596,1.5,101940,10297,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49638,15,14440,1248,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49638,25,9960,1622,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49638,8.33,29260,2183,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49638,5,51060,3135,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49638,1.5,101290,10215,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49656,8.33,33000,1700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49656,5,53000,2600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49663,8.33,31480,1584,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49663,5,42450,2188,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49663,1.5,112280,11291,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C,,,,,,
1993J,49709,8.33,31900,1600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49709,5,49000,2500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49722,15,16220,1667,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49722,8.33,23210,1920,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49722,25,15290,2638,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49722,5,45210,2764,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49722,1.5,107010,10736,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,49758,8.33,29200,1500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49758,5,46400,2300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49758,1.5,120000,10000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49813,15,9670,864,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49813,8.33,28200,1468,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49813,25,14800,1593,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49813,5,44230,2242,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49813,1.5,118840,12205,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D,,,,,,
1993J,49848,8.33,25600,1500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49883,15,6490,727,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,49883,8.33,16480,877,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,49883,5,34960,1939,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,49883,1.5,101760,10247,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,49884,0.33,27386,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,49947,8.33,24500,1200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49947,5,37700,1900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,49996,25,9360,1086,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49996,15,14200,1152,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49996,8.33,23300,1425,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49996,5,35810,1965,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49996,0.33,15500,3161,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,49996,1.5,99910,9992,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,50063,0.33,33513,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B,,,,,,
1993J,50070,8.33,22100,1100,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50070,5,33900,1700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50094,0.33,65100,1,*upper limit,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,50094,25,9393,983,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,50094,15,13345,1030,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,50094,8.33,21062,1061,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,50094,5,33770,1696,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,50094,1.5,84007,8415,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-B/C,,,,,,
1993J,50180,25,10300,700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50180,8.33,20200,1100,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50180,5,31400,1600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50326,8.33,19100,1000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50326,5,29000,1400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50360,5,26950,1434,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,50360,15,10370,1672,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,50360,8.33,16310,2013,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,50360,25,9160,2899,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,50360,1.5,70860,7132,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,50429,8.33,18700,900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50429,5,28600,1400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50429,1.5,70800,3700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50470,15,10700,915,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50470,8.33,16750,965,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50470,25,7340,974,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50470,5,26340,1573,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50470,1.5,71910,7297,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50470,0.33,83700,21195,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50606,8.33,17200,900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50606,5,26300,1300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50674,1.5,61631,6176,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-C/D,,,,,,
1993J,50767,8.33,17200,900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50767,5,24300,1300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50767,25,10400,1300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50767,15,14000,2600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50767,1.5,60600,3300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50967,8.33,16000,1000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50967,5,22800,1300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,50973,15,4735,435,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50973,8.33,9632,610,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50973,25,3927,762,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50973,5,20803,1136,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50973,1.5,52165,5356,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,50973,0.33,63690,24758,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A/B,,,,,,
1993J,51137,8.33,13900,700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51137,25,7700,900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51137,15,12300,1000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51137,5,20500,1100,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51137,1.5,48200,2800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51154,8.33,14300,800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51154,5,20700,1000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51154,25,5100,1000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51154,15,12300,1300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51154,1.5,47900,2800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51335,8.33,12800,800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51335,15,8400,800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51335,25,5500,1000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51335,1.5,39600,2100,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51342,5,12155,927,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,51342,1.5,37770,3799,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,51345,5,20900,1200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51506,8.33,12500,700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51506,5,17500,900,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51506,1.5,38800,2300,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51506,0.33,108000,20000,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51597,15,900,400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51597,8.33,12000,800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51855,1.42,35100,3536,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
1993J,51860,8.33,10900,600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51860,15,8300,800,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51860,1.5,33800,1700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51893,1.42,36100,3612,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
1993J,51896,1.5,30500,400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,51896,1.5,33700,400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,51896,0.324,71100,3400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,51898,15,6700,100,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,51898,8.33,10400,200,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,51898,5,14700,400,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,51931,8.33,9700,700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,51992,0.61,56100,5523,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
1993J,52062,1.39,32700,3606,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
1993J,52070,8.33,9400,500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,52070,5,14400,700,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,52070,1.5,28800,1600,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA,,,,,,
1993J,52094,0.325,75030,7700,,"Radio studies of young core collapse supernovae, chandra (2002)",GMRT,,,,,,
1993J,52095,0.325,69200,15997,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
1993J,52145,0.61,55800,5714,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
1993J,52197,1.396,33900,3512,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",GMRT,,,,,,
1993J,52197,1.39,33900,3314,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
1993J,52238,8.33,8400,500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
1993J,52238,1.5,24400,1500,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-A,,,,,,
2001ig,52258,1.4,800,1,*upper limit,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,2001 December 3,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",Mean,,NED
2001ig,52258,8.6,2100,300,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,52246,,Std. Dev,,NED
2001ig,52258,4.8,600,300,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,2452246,,9.312,,NED
2001ig,52261,4.8,1600,200,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,1.787,,NED
2001ig,52261,8.6,3900,1600,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,Min.,,NED
2001ig,52265,4.8,2700,300,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,6.67,,NED
2001ig,52265,8.6,8700,800,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,Max.,,NED
2001ig,52269,4.8,4800,300,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,11.5,,NED
2001ig,52269,8.6,15000,3000,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,Median,,NED
2001ig,52271,15,36500,3700,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",VLA,,,,9.86,,NED
2001ig,52271,22.5,37200,5600,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",VLA,,,,,,
1993J,52273,0.619,47800,5818,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",GMRT,,,,3.63,0.34,Long Term Radio Monitoring of SN 1993J
1993J,52273,0.235,57210,4800,,"Radio studies of young core collapse supernovae, chandra (2002)",GMRT,,,,,,
1993J,52273,0.61,47800,5819,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
1993J,52274,0.239,57800,8000,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",GMRT,,,,,,
1993J,52274,0.61,43770,2000,,"Radio studies of young core collapse supernovae, chandra (2002)",GMRT,,,,,,
1993J,52274,0.243,57800,8000,,THE LATE-TIME RADIO EMISSION FROM SN 1993J AT METER WAVELENGTHS P. Chandra,GMRT,,,,,,
2001ig,52274,2.4,4600,1,*upper limit,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,,,
2001ig,52274,1.4,1800,1,*upper limit,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,9,,SNE
2001ig,52274,4.8,6300,300,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,,,
2001ig,52274,18.8,43000,4000,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,,,
2001ig,52281,4.8,10600,300,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,,,
2001ig,52281,15,30900,3100,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",VLA,,,,,,
2001ig,52281,22.5,22300,3400,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",VLA,,,,,,
2001ig,52284,4.8,14200,900,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,,,
2001ig,52284,22.5,16600,2500,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",VLA,,,,,,
2001ig,52284,15,25100,2600,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",VLA,,,,,,
2001ig,52284,18.8,22000,3000,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,,,
2001ig,52284,8.6,23600,4100,,"Modulations in the radio light curve of the Type IIb supernova 2001ig: evidence for a Wolf–Rayet binary progenitor? (2004), Ryder",ATCA,,,,,,
1993J,52287,22.485,2500,309,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",VLA,,,,,,
1993J,52287,8.44,7880,518,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",VLA,,,,,,
1993J,52287,14.965,4490,588,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",VLA,,,,,,
1993J,52287,4.885,15000,793,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",VLA,,,,,,
1993J,52287,1.465,31440,5170,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
",VLA,,,,3.6 Mpc,,"Baby supernovae through the looking glass at long wavelengths.	Chandra, Poonam
"
1993J,52287,25,2495,282,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
1993J,52287,8.33,7880,459,,"Long Term Radio Monitoring of SN 1993J (2007), Kurt Weiler",VLA-D/A,,,,,,
