,Composition,Synth. Probability,Half Heusler (F-43m),Experimental Structure,Electron Count,Label,random
786,YFeCu,0.057,0.522000034,[Laves(cub)#MgCu2],22,Other non-HH Prototype,0.34
200,TmAgSi,0.057,0.195383699,MoNiP (P-62m),30,Common non-HH Prototype,0.48
1760,LaCuGe,0.057,0.14547718,[SmNiSb],18,Other non-HH Prototype,0.78
758,CeGdSi,0.056,0.13072308,phase_separating,10,Phase Separating,0.11
686,CeMnGe,0.056,0.430374924,[PbClF],14,Other non-HH Prototype,0.83
1194,TiCoAs,0.055,0,MgSrSi (Pnma),18,Common non-HH Prototype,-0.87
569,TmPtAs,0.055,0.046500406,[YPtAs],30,Other non-HH Prototype,0.88
1885,YHfMo,0.055,0.671163004,phase_separating,13,Phase Separating,-0.41
651,CeMnB,0.055,0.814115259,phase_separating,13,Phase Separating,0.38
546,MoMnB,0.055,0.477095214,phase_separating,16,Phase Separating,-0.52
1431,LaNiIn,0.054,0.157231968,MoNiP (P-62m),16,Common non-HH Prototype,-0.63
1034,HfFeSi,0.054,0.482597863,MgSrSi (Pnma),16,Common non-HH Prototype,0.96
376,HoRuGe,0.054,0.400216934,MgSrSi (Pnma),25,Common non-HH Prototype,-0.08
509,ZrFeAl,0.054,0.390402461,[MgZn2],15,Other non-HH Prototype,0.69
1027,CrFeGa,0.054,0.378211066,phase_separating,17,Phase Separating,0.99
292,TaNiGe,0.054,0.220166421,MgSrSi (Pnma),19,Common non-HH Prototype,-0.02
1202,PrCuPb,0.054,0,AsHgK (P63/mmc),20,Common non-HH Prototype,-0.64
533,ZrVCu,0.054,0.622510971,[MgZn2],20,Other non-HH Prototype,0.56
1426,NdAuIn,0.053,0.101037566,MoNiP (P-62m),20,Common non-HH Prototype,-0.35
751,LaAuGe,0.053,0.159062028,LiGaGe (P63mc),18,Common non-HH Prototype,0.63
585,CeMgPd,0.053,0.172827686,MoNiP (P-62m),27,Common non-HH Prototype,-0.13
621,LuCuSi,0.053,0.138011494,AsHgK (P63/mmc),18,Common non-HH Prototype,-0.54
1094,YMoB,0.053,0.716754156,phase_separating,12,Phase Separating,0.52
1113,AgAuBi,0.052,0.036053277,phase_separating,27,Phase Separating,-0.39
606,NaSbTe,0.052,0.45220957,phase_separating,18,Phase Separating,0.73
1526,EuAuSb,0.052,0.033348762,AsHgK (P63/mmc),25,Common non-HH Prototype,0.78
1620,SrGaSn,0.051,0.188770528,[YPtAs],15,Other non-HH Prototype,0.14
1920,CaMgZn,0.051,0.176338324,[MgZn2],28,Other non-HH Prototype,-0.93
550,KMnAs,0.051,0.551923656,[PbClF],19,Other non-HH Prototype,0.18
1490,ErFeNi,0.05,0.483278327,[Laves(cub)#MgCu2],32,Other non-HH Prototype,0.97
571,ScFeGe,0.05,0.363499487,MoNiP (P-62m),15,Common non-HH Prototype,-0.41
1294,CeRhSn,0.05,0.211303409,MoNiP (P-62m),16,Common non-HH Prototype,0.46
1845,DyIrGe,0.05,0.339999014,MgSrSi (Pnma),25,Common non-HH Prototype,0.46
599,GdMnGe,0.05,0.3806152,MgSrSi (Pnma),14,Common non-HH Prototype,-0.54
718,MgAlSn,0.05,0.157759905,phase_separating,15,Phase Separating,-0.55
268,ThPdIn,0.05,0.128638347,MoNiP (P-62m),23,Common non-HH Prototype,-0.9
1751,VFeAs,0.05,0,MoNiP (P-62m),18,Common non-HH Prototype,-0.27
782,PdSbAs,0.049,0.091088193,[FeS2],26,Other non-HH Prototype,-0.3
332,UCuGa,0.049,0.363597683,AsHgK (P63/mmc),17,Common non-HH Prototype,0.06
793,ZrTiPd,0.049,0.444412898,[MgZn2],24,Other non-HH Prototype,0.25
2,BaAuSn,0.049,0.205961368,[KHg2],23,Other non-HH Prototype,-0.04
138,TaPtSi,0.049,0.397248502,MgSrSi (Pnma),19,Common non-HH Prototype,-0.12
729,DyPdAs,0.048,0.097745484,MgSrSi (Pnma),33,Common non-HH Prototype,-0.73
205,AgPbTe,0.048,0.224129941,phase_separating,21,Phase Separating,-0.49
1321,WCoB,0.048,0.565302104,MgSrSi (Pnma),18,Common non-HH Prototype,-0.86
279,HoPdAl,0.048,0.272428125,MgSrSi (Pnma),32,Common non-HH Prototype,-0.73
1861,MnPtSb,0.048,0,Half Heusler (F-43m),22,Half Heusler,0.65
1550,PdTlPb,0.048,0.020351132,[CuAl2],23,Other non-HH Prototype,0.01
62,TaVNi,0.047,0.646337754,[MgZn2],20,Other non-HH Prototype,-0.1
82,ThNiAl,0.047,0.176908696,MoNiP (P-62m),17,Common non-HH Prototype,0.05
1847,SrZnSn,0.047,0.108456275,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.78
1517,NbRhSi,0.047,0.237362294,MgSrSi (Pnma),18,Common non-HH Prototype,0.69
584,LiBeSb,0.047,0.021366835,LiGaGe (P63mc),12,Common non-HH Prototype,0.41
887,NaBeB,0.047,1.259998849,[CaF2],14,Other non-HH Prototype,0.52
1762,UCoSn,0.047,0.077299867,MoNiP (P-62m),16,Common non-HH Prototype,0.28
58,TiRuGe,0.047,0.348241283,[TiFeSi],16,Other non-HH Prototype,0.91
1586,YRhSn,0.047,0.16911079,MoNiP (P-62m),16,Common non-HH Prototype,-0.4
146,HfMnAl,0.047,0.589806238,[MgZn2],14,Other non-HH Prototype,-0.96
812,NdNiSn,0.047,0.094400516,MgSrSi (Pnma),20,Common non-HH Prototype,0.18
520,YZnGa,0.047,0.177387685,AsHgK (P63/mmc),18,Common non-HH Prototype,-0.51
1904,DyPdZn,0.047,0.186598674,MoNiP (P-62m),40,Common non-HH Prototype,0.03
211,LuCoSi,0.047,0.399775393,MgSrSi (Pnma),16,Common non-HH Prototype,-0.46
1225,GdIrSi,0.047,0.510612578,MgSrSi (Pnma),16,Common non-HH Prototype,-0.05
1529,CeRhZn,0.046,0.212032715,[LaNiAl],24,Other non-HH Prototype,0.51
1519,YCoSi,0.046,0.457614223,MgSrSi (Pnma),16,Common non-HH Prototype,0.09
1823,ErPdBi,0.046,0,Half Heusler (F-43m),35,Half Heusler,0.57
1493,LuPdBi,0.046,0,Half Heusler (F-43m),24,Half Heusler,-0.71
1372,YbAuSb,0.046,0,LiGaGe (P63mc),32,Common non-HH Prototype,-0.92
815,LiAuAl,0.046,0.169143402,AsHgK (P63/mmc),17,Common non-HH Prototype,-0.21
1664,TbIrSn,0.046,0.171282261,MoNiP (P-62m),24,Common non-HH Prototype,-0.04
481,ZrTiNi,0.046,0.355528861,[MgZn2],18,Other non-HH Prototype,0.82
685,YZnSi,0.046,0.339475404,[AlB2],19,Other non-HH Prototype,0.77
1451,TiPtSn,0.046,0,Half Heusler (F-43m),18,Half Heusler,0.2
510,CdInTe,0.046,0.265462878,phase_separating,21,Phase Separating,-0.66
634,LaIrSb,0.045,0.178205299,MgSrSi (Pnma),17,Common non-HH Prototype,0.64
1642,ScRhSi,0.045,0.393974948,MgSrSi (Pnma),16,Common non-HH Prototype,0.47
271,YRhGe,0.045,0.335823133,MgSrSi (Pnma),16,Common non-HH Prototype,-0.67
386,SmPdZn,0.045,0.185311537,MoNiP (P-62m),36,Common non-HH Prototype,-0.99
1844,CeIrIn,0.045,0.174807763,MoNiP (P-62m),15,Common non-HH Prototype,-0.27
1231,ThPtSn,0.045,0,Half Heusler (F-43m),18,Half Heusler,0
886,MgCuZn,0.045,0.211407501,[Laves(cub)#MgCu2],31,Other non-HH Prototype,-0.95
21,ErCuSn,0.045,0.00149785,AsHgK (P63/mmc),29,Common non-HH Prototype,-0.25
1110,LiRhIn,0.045,0.252673194,AsHgK (P63/mmc),15,Common non-HH Prototype,0.13
1609,ReGaSi,0.044,0.602240908,[None],14,Other non-HH Prototype,0.37
16,CrFeAs,0.044,0.005614447,MoNiP (P-62m),19,Common non-HH Prototype,-0.79
948,YMnGa,0.044,0.473381984,[TiFeSi],13,Other non-HH Prototype,-0.96
1583,CeAuPb,0.043,0,AsHgK (P63/mmc),18,Common non-HH Prototype,-0.48
925,TiVFe,0.043,0.457496883,[MgZn2],17,Other non-HH Prototype,-0.45
340,SrAgSb,0.043,0.120232188,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.9
306,YIrSn,0.043,0.167287323,MgSrSi (Pnma),16,Common non-HH Prototype,0.65
529,EuPtCd,0.043,0.122515453,MgSrSi (Pnma),31,Common non-HH Prototype,0.82
151,TmCuSi,0.042,0.15099766,AsHgK (P63/mmc),30,Common non-HH Prototype,0.69
505,CaAgAs,0.042,0.086194637,MoNiP (P-62m),24,Common non-HH Prototype,-0.75
1358,YNiPb,0.042,0.084843951,MgSrSi (Pnma),17,Common non-HH Prototype,-0.91
951,SrPtIn,0.042,0.182213052,MgSrSi (Pnma),21,Common non-HH Prototype,-0.48
1043,SrAuAs,0.042,0.260442892,AsHgK (P63/mmc),24,Common non-HH Prototype,0.29
1052,YbPtSi,0.042,0.437321525,MgSrSi (Pnma),30,Common non-HH Prototype,0.58
1239,LaAgSi,0.042,0.176490445,phase_separating,18,Phase Separating,0.85
926,SmZnSi,0.042,0.352322123,[AlB2],24,Other non-HH Prototype,-0.46
1851,TmNiBi,0.041,0,Half Heusler (F-43m),30,Half Heusler,-0.83
1514,LuNiBi,0.041,0,Half Heusler (F-43m),18,Half Heusler,0.65
1821,TiPtGe,0.041,0,Half Heusler (F-43m),18,Half Heusler,0.99
261,SrCaGe,0.041,0.06918663,MgSrSi (Pnma),20,Common non-HH Prototype,-0.46
239,CeZnGa,0.041,0.144012402,AsHgK (P63/mmc),18,Common non-HH Prototype,-0.43
648,ScWB,0.041,0.611248761,phase_separating,12,Phase Separating,0.19
1332,TbPtBi,0.041,0,Half Heusler (F-43m),26,Half Heusler,0.37
1749,RhSbTe,0.041,0.158933733,[FeS2],20,Other non-HH Prototype,0.72
848,TiCoAl,0.041,0.315328867,phase_separating,16,Phase Separating,0.11
1784,BaCaSi,0.041,0.111352596,MgSrSi (Pnma),20,Common non-HH Prototype,-0.2
460,ScRuGe,0.041,0.404930629,MoNiP (P-62m),15,Common non-HH Prototype,0.81
868,CeNiPt,0.041,0.297085658,MgSrSi (Pnma),23,Common non-HH Prototype,-0.41
568,TbMnGe,0.04,0.374807456,MgSrSi (Pnma),22,Common non-HH Prototype,0
1154,CeIrAl,0.04,0.357915734,MgSrSi (Pnma),15,Common non-HH Prototype,0.06
1392,MnAuSb,0.04,0.075456036,Half Heusler (F-43m),23,Half Heusler,0.52
1281,TbAuPb,0.04,0,Half Heusler (F-43m),26,Half Heusler,-0.5
1582,TbCuPb,0.04,0,LiGaGe (P63mc),26,Common non-HH Prototype,0.41
492,NbCoAs,0.04,0.193118305,MgSrSi (Pnma),19,Common non-HH Prototype,0.21
214,SrCdSn,0.04,0.12383409,[KHg2],24,Other non-HH Prototype,-0.07
417,NbMnGe,0.04,0.388835675,MoNiP (P-62m),16,Common non-HH Prototype,-0.62
830,BaCuSb,0.04,0.24380575,AsHgK (P63/mmc),24,Common non-HH Prototype,-1
1756,YbCuSi,0.04,0.267539354,AsHgK (P63/mmc),31,Common non-HH Prototype,-0.95
17,PrCoNi,0.04,0.525814552,[Laves(cub)#MgCu2],24,Other non-HH Prototype,0.63
707,HoAlGe,0.04,0.385269401,[YAlGe],20,Other non-HH Prototype,-0.6
1284,HoCuSn,0.039,0,AsHgK (P63/mmc),28,Common non-HH Prototype,-0.94
831,ThIrAl,0.039,0.306247391,MoNiP (P-62m),16,Common non-HH Prototype,0.22
1605,YIrGa,0.039,0.268171657,MgSrSi (Pnma),15,Common non-HH Prototype,0.74
1479,YZnGe,0.039,0.315179248,[YPtAs],19,Other non-HH Prototype,0.98
513,SmRhSn,0.039,0.18804396,MoNiP (P-62m),21,Common non-HH Prototype,-0.97
939,BaHgPb,0.039,0.066156207,[KHg2],24,Other non-HH Prototype,0.52
1380,LiPdAl,0.039,0.257199162,[LiBaSi],22,Other non-HH Prototype,-0.75
233,VCoAs,0.039,0.07378662,MgSrSi (Pnma),19,Common non-HH Prototype,-0.61
1836,HfMoRu,0.038,0.734591869,phase_separating,18,Phase Separating,0.35
462,TbAgPb,0.038,0.031719232,LiGaGe (P63mc),26,Common non-HH Prototype,-0.12
451,MgCoGe,0.038,0.239054233,[Cu2Sb],21,Other non-HH Prototype,0.43
190,SrCaSi,0.038,0.068484151,MgSrSi (Pnma),20,Common non-HH Prototype,-0.48
702,ScNiGa,0.038,0.211078823,[KHg2],16,Other non-HH Prototype,1
135,NbFeAl,0.038,0.380745437,[MgZn2],16,Other non-HH Prototype,-0.56
991,ZrIrGe,0.038,0.187986874,MgSrSi (Pnma),17,Common non-HH Prototype,0
400,CaMgPd,0.037,0.161155579,MgSrSi (Pnma),32,Common non-HH Prototype,0.66
1195,ScPdSi,0.037,0.249631916,MgSrSi (Pnma),23,Common non-HH Prototype,0.96
1386,PrCuCd,0.037,0.137312043,MoNiP (P-62m),28,Common non-HH Prototype,0.35
95,TbLiGe,0.037,0.151239829,MoNiP (P-62m),18,Common non-HH Prototype,0.26
97,TiGeSb,0.037,0.496575377,[UP2#UAs2],13,Other non-HH Prototype,0.84
1578,TiAsTe,0.037,0.45266691,[UTe2],15,Other non-HH Prototype,-0.68
1367,LaGaSi,0.037,0.459420412,[ThSi2],10,Other non-HH Prototype,0.28
696,IrPdB,0.037,0.257993953,[CuIrB],28,Other non-HH Prototype,0.38
301,TbCoSn,0.036,0.158105886,MgSrSi (Pnma),24,Common non-HH Prototype,-0.8
1056,SmFeCo,0.036,0.450838861,[Laves(cub)#MgCu2],25,Other non-HH Prototype,-0.21
1665,SmIrAl,0.036,0.328195719,MgSrSi (Pnma),20,Common non-HH Prototype,0.49
656,LaIrAl,0.036,0.329196594,MgSrSi (Pnma),15,Common non-HH Prototype,-0.77
315,LiCuAs,0.036,0.061421023,phase_separating,19,Phase Separating,0.66
341,CoBiTe,0.036,0.250838171,[Marcasite#FeS2(oP6)],20,Other non-HH Prototype,0.33
1439,WGeAs,0.036,0.66064322,[MoAs2],15,Other non-HH Prototype,-0.46
750,CdGeSb,0.036,0.251437756,phase_separating,21,Phase Separating,-0.01
1619,CaAgIn,0.035,0.143686086,[None],22,Other non-HH Prototype,0.62
1317,ErNiPb,0.035,0.030155848,MgSrSi (Pnma),28,Common non-HH Prototype,-0.72
1850,MoAlSi,0.035,0.566899882,[CrSi2],13,Other non-HH Prototype,-0.39
780,GdRhSn,0.035,0.177448622,MoNiP (P-62m),16,Common non-HH Prototype,0.03
282,SrMgPd,0.034,0.185522287,MgSrSi (Pnma),32,Common non-HH Prototype,-0.34
1708,ZrFeSb,0.034,0.033697759,MgSrSi (Pnma),17,Common non-HH Prototype,-0.71
130,CeMnSn,0.034,0.429950043,phase_separating,14,Phase Separating,0.66
1914,ThNiGa,0.034,0.123873133,MoNiP (P-62m),17,Common non-HH Prototype,-0.61
581,ThRhGa,0.034,0.239434556,MoNiP (P-62m),16,Common non-HH Prototype,0.86
867,ErPdAs,0.034,0.093672014,MgSrSi (Pnma),35,Common non-HH Prototype,0.98
974,TaNiSi,0.034,0.361250527,MgSrSi (Pnma),19,Common non-HH Prototype,-0.91
821,YbCoGe,0.034,0.38973137,MgSrSi (Pnma),29,Common non-HH Prototype,0.09
784,ErZnAl,0.034,0.139112315,AsHgK (P63/mmc),29,Common non-HH Prototype,0.35
1576,LaPtIn,0.034,0.1625597,MoNiP (P-62m),16,Common non-HH Prototype,-0.22
260,YNiSi,0.034,0.298581358,MgSrSi (Pnma),17,Common non-HH Prototype,-0.63
1253,HfRhSb,0.034,0,Half Heusler (F-43m),18,Half Heusler,-0.82
499,FeCoAl,0.034,0.448170049,phase_separating,20,Phase Separating,0.55
1596,TmCuSn,0.034,0.000142535,AsHgK (P63/mmc),30,Common non-HH Prototype,-0.27
1657,ZrNbFe,0.034,0.333726972,phase_separating,17,Phase Separating,-0.1
1264,CaZnSi,0.034,0.201370153,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.8
172,UCoB,0.034,0.575013505,phase_separating,15,Phase Separating,-0.45
1758,CeFeB,0.034,0.866225469,phase_separating,14,Phase Separating,-0.17
792,TaCoSi,0.034,0.092040538,MgSrSi (Pnma),18,Common non-HH Prototype,0.14
703,NdIrSn,0.034,0.217375292,MoNiP (P-62m),19,Common non-HH Prototype,0.01
1911,SmPdBi,0.033,0,Half Heusler (F-43m),29,Half Heusler,-0.45
1155,ThPtGa,0.033,0.174254116,MoNiP (P-62m),17,Common non-HH Prototype,-0.58
763,MgNiCu,0.033,0.36796099,phase_separating,29,Phase Separating,0.21
878,IrPdPt,0.033,0.590600303,phase_separating,35,Phase Separating,-0.76
1726,CaCdGe,0.033,0.043496782,MoNiP (P-62m),24,Common non-HH Prototype,-0.86
1410,ScCrMn,0.033,0.667582816,[MgZn2],16,Other non-HH Prototype,0.71
1226,LuPdZn,0.033,0.173743217,MoNiP (P-62m),31,Common non-HH Prototype,0.32
464,CrMoSi,0.033,0.576191095,[MgZn2],16,Other non-HH Prototype,0.82
1208,MoCoGe,0.033,0.119673974,[MgZn2],19,Other non-HH Prototype,0.53
377,SmPdGa,0.032,0.238578344,MgSrSi (Pnma),27,Common non-HH Prototype,-0.18
1865,SmZnTl,0.032,0.06759477,AsHgK (P63/mmc),23,Common non-HH Prototype,-0.16
818,LuCoGe,0.032,0.304177915,MgSrSi (Pnma),16,Common non-HH Prototype,-0.92
1169,HoPtBi,0.032,0,Half Heusler (F-43m),28,Half Heusler,-0.45
34,MnCoAs,0.032,0.069124657,MgSrSi (Pnma),21,Common non-HH Prototype,0.26
314,BaAuBi,0.032,0.129285765,AsHgK (P63/mmc),24,Common non-HH Prototype,0.37
1137,CaAuAl,0.032,0.2668131,MgSrSi (Pnma),22,Common non-HH Prototype,-0.06
94,GdMgAu,0.032,0.177690936,MoNiP (P-62m),22,Common non-HH Prototype,0.03
230,TiPdSi,0.032,0.191816098,MgSrSi (Pnma),24,Common non-HH Prototype,0.52
11,ScNiB,0.032,0.542114558,phase_separating,16,Phase Separating,0.3
850,TaOsB,0.032,0.643374068,[TaRuB],16,Other non-HH Prototype,-0.69
1106,PrAuGe,0.032,0.137976123,LiGaGe (P63mc),20,Common non-HH Prototype,-0.1
1787,EuMgSi,0.031,0.116400442,MgSrSi (Pnma),21,Common non-HH Prototype,-0.48
1631,FeZnSb,0.031,0.153768209,Half Heusler (F-43m),25,Half Heusler,-0.72
46,ZrPdSb,0.031,0.108280112,MgSrSi (Pnma),25,Common non-HH Prototype,-0.05
1074,YbLiSb,0.031,0.132397218,MgSrSi (Pnma),24,Common non-HH Prototype,-0.86
1044,EuCuBi,0.031,0.007037348,AsHgK (P63/mmc),25,Common non-HH Prototype,-0.39
274,CaAgSb,0.031,0.059331446,MgSrSi (Pnma),24,Common non-HH Prototype,-0.22
1014,GdRhZn,0.031,0.216115756,MgSrSi (Pnma),24,Common non-HH Prototype,0.01
318,ZrCoGe,0.031,0.18335801,MgSrSi (Pnma),17,Common non-HH Prototype,-0.29
1017,TaFeSi,0.031,0.276862402,MgSrSi (Pnma),17,Common non-HH Prototype,-0.88
1339,YIrAl,0.031,0.31658807,MgSrSi (Pnma),15,Common non-HH Prototype,-0.21
1594,NbRuSb,0.031,0,Half Heusler (F-43m),18,Half Heusler,-0.89
773,NbNiSn,0.031,0.088957836,phase_separating,19,Phase Separating,-0.59
680,YbBiTe,0.031,0.619502114,phase_separating,27,Phase Separating,0.58
739,HfFeAs,0.031,0.229515858,[HoNiGa],17,Other non-HH Prototype,-0.43
346,BaMgPb,0.031,0.158378151,[PbClF],20,Other non-HH Prototype,-0.7
1603,ScAgGe,0.031,0.129735733,MoNiP (P-62m),18,Common non-HH Prototype,0.95
396,BaAgSn,0.031,0.246573837,[KHg2],23,Other non-HH Prototype,-0.3
1575,CeMgPt,0.031,0.161267434,MoNiP (P-62m),21,Common non-HH Prototype,-0.55
1505,DyAgSi,0.031,0.191886422,MoNiP (P-62m),27,Common non-HH Prototype,0.51
1737,MgAgCd,0.03,0.128313151,phase_separating,31,Phase Separating,-0.08
1103,LiPdGa,0.03,0.2066617,AsHgK (P63/mmc),22,Common non-HH Prototype,-0.55
1574,LiYSi,0.03,0.170158017,MoNiP (P-62m),10,Common non-HH Prototype,-0.01
649,NdPtPb,0.03,0.057437264,MoNiP (P-62m),20,Common non-HH Prototype,-0.7
429,PtSiSb,0.03,0.303996147,[NiAs2],19,Other non-HH Prototype,-0.94
1692,CaAuAs,0.03,0.138435922,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.6
772,SmAuGe,0.03,0.109020645,LiGaGe (P63mc),23,Common non-HH Prototype,-0.75
1390,LaIrGe,0.03,0.348519984,[LaPtSi],16,Other non-HH Prototype,0.41
1906,PrCdTl,0.03,0.127512798,AsHgK (P63/mmc),20,Common non-HH Prototype,-0.63
1357,NdPtIn,0.029,0.160416908,MoNiP (P-62m),19,Common non-HH Prototype,-0.27
820,NbCoSi,0.029,0.109477011,MgSrSi (Pnma),18,Common non-HH Prototype,-0.91
643,YPtAl,0.029,0.299242703,MgSrSi (Pnma),16,Common non-HH Prototype,0.27
654,ErPtAs,0.029,0.056460489,[YPtAs],29,Other non-HH Prototype,0.6
1738,ZrCrMn,0.029,0.667483795,[MgZn2],17,Other non-HH Prototype,0.08
796,HfNbGe,0.029,0.499672687,phase_separating,13,Phase Separating,0.07
854,NbRuSi,0.029,0.361723438,[TiFeSi],17,Other non-HH Prototype,0.57
1238,ErNiSi,0.029,0.282533477,MgSrSi (Pnma),28,Common non-HH Prototype,0.13
493,ErFeAl,0.029,0.413621902,[MgZn2],25,Other non-HH Prototype,0.42
691,TbPtSi,0.029,0.347004539,MgSrSi (Pnma),25,Common non-HH Prototype,0.15
1381,CePtBi,0.029,0,Half Heusler (F-43m),18,Half Heusler,-0.63
819,LiPdIn,0.029,0.164406967,AsHgK (P63/mmc),22,Common non-HH Prototype,0.51
1166,TmSbTe,0.029,0.466966337,phase_separating,26,Phase Separating,-0.03
45,ScNiAl,0.029,0.251437099,[MgZn2],16,Other non-HH Prototype,-0.01
1474,ErNiIn,0.028,0.15560859,MoNiP (P-62m),27,Common non-HH Prototype,0.21
1190,PrNiGa,0.028,0.207255466,[HoNiGa],18,Other non-HH Prototype,-0.44
532,SmPdTl,0.028,0.135440601,MoNiP (P-62m),27,Common non-HH Prototype,-0.74
25,PrCoGe,0.028,0.37573991,[PbClF],18,Other non-HH Prototype,-0.42
1780,GdScSb,0.028,0.333184145,[Cu2Sb],11,Other non-HH Prototype,-0.22
1404,HfPtGe,0.028,0,MgSrSi (Pnma),18,Common non-HH Prototype,0.06
806,SmBiTe,0.028,0.521993962,phase_separating,19,Phase Separating,-0.91
1548,SmPdPb,0.028,0.055143542,MoNiP (P-62m),28,Common non-HH Prototype,-0.26
220,NiCuIn,0.027,0.245073271,[InNi2#Co1.75Ge],24,Other non-HH Prototype,0.84
841,BaAgBi,0.027,0.128572943,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.19
145,PrNiIn,0.027,0.146428164,MoNiP (P-62m),18,Common non-HH Prototype,-0.27
953,LaTiSi,0.027,0.498229745,phase_separating,11,Phase Separating,-0.68
1055,HoIrSb,0.027,0.053047931,MgSrSi (Pnma),27,Common non-HH Prototype,0.79
636,CeLuGe,0.027,0.196325799,phase_separating,10,Phase Separating,-0.69
1887,TaCrW,0.027,0.757967257,phase_separating,17,Phase Separating,0.76
1894,BaAuAs,0.027,0.358075995,AsHgK (P63/mmc),24,Common non-HH Prototype,-0.39
258,LaMgRh,0.027,0.175769702,[LaNiAl],20,Other non-HH Prototype,-0.97
1385,HoCoSi,0.027,0.424893772,MgSrSi (Pnma),26,Common non-HH Prototype,-0.19
1328,SmCuGe,0.027,0.123787763,[SmNiSb],23,Other non-HH Prototype,0.15
728,HoFeCu,0.027,0.525885491,[Laves(cub)#MgCu2],32,Other non-HH Prototype,-0.61
791,NdBiTe,0.027,0.542906763,phase_separating,17,Phase Separating,0.81
360,HfCrGa,0.027,0.670515408,phase_separating,13,Phase Separating,0.45
1447,LaRhSb,0.027,0.126659137,MgSrSi (Pnma),17,Common non-HH Prototype,0.97
932,ZrTiCu,0.026,0.449315522,[CuZr2],19,Other non-HH Prototype,0.71
822,WFeB,0.026,0.546469735,MgSrSi (Pnma),17,Common non-HH Prototype,-0.73
1614,PrRhSn,0.026,0.205982219,MoNiP (P-62m),18,Common non-HH Prototype,0.71
1842,MnRhSb,0.026,0.062895265,Half Heusler (F-43m),21,Half Heusler,0.3
1740,NbFeGe,0.026,0.110042548,[None],17,Other non-HH Prototype,0.29
1063,ThCoGa,0.026,0.188602819,MoNiP (P-62m),16,Common non-HH Prototype,0.96
1600,GdCoNi,0.026,0.483816017,[Laves(cub)#MgCu2],22,Other non-HH Prototype,-0.17
1567,SrMgPt,0.026,0.202987586,MgSrSi (Pnma),26,Common non-HH Prototype,-0.59
588,CaPtGe,0.026,0.322282602,MgSrSi (Pnma),22,Common non-HH Prototype,-0.49
1167,YTiSi,0.026,0.41001679,[Cu2Sb],11,Other non-HH Prototype,0.37
1744,HoIrGe,0.026,0.332865697,MgSrSi (Pnma),26,Common non-HH Prototype,0.24
1629,NaMnBi,0.026,0.38956634,[PbClF],19,Other non-HH Prototype,0.53
1615,CaPtPb,0.026,0.07950133,MgSrSi (Pnma),22,Common non-HH Prototype,0.31
86,TiCoGe,0.026,0.116166139,MoNiP (P-62m),17,Common non-HH Prototype,0.53
706,PuNiAl,0.026,0.387541522,MoNiP (P-62m),21,Common non-HH Prototype,-0.07
911,ScCuZn,0.026,0.226188193,[MgZn2],26,Other non-HH Prototype,-0.63
404,ScCuGe,0.026,0.097442541,MoNiP (P-62m),18,Common non-HH Prototype,0.74
1233,YNiIn,0.025,0.163089587,MoNiP (P-62m),16,Common non-HH Prototype,0.72
519,TbPdZn,0.025,0.187120807,MoNiP (P-62m),39,Common non-HH Prototype,0.84
371,TmPtAl,0.025,0.271561107,MgSrSi (Pnma),28,Common non-HH Prototype,0.3
280,HfMoB,0.025,0.50284578,phase_separating,13,Phase Separating,-0.4
85,NdIrAl,0.025,0.341618733,MgSrSi (Pnma),18,Common non-HH Prototype,0.89
321,NdNiAl,0.025,0.250013646,MoNiP (P-62m),19,Common non-HH Prototype,-0.73
1624,HoNiIn,0.024,0.1571772,MoNiP (P-62m),26,Common non-HH Prototype,0.85
1351,DyNiSb,0.024,0,Half Heusler (F-43m),27,Half Heusler,-0.47
433,CoPbTe,0.024,0.450389047,phase_separating,19,Phase Separating,0.1
480,PuCoGa,0.024,0.271897896,MoNiP (P-62m),20,Common non-HH Prototype,-0.19
345,UMnCo,0.024,0.467357394,[Laves(cub)#MgCu2],19,Other non-HH Prototype,-0.33
697,TiTaCo,0.024,0.373614267,[MgZn2],18,Other non-HH Prototype,0.38
774,BaAuGa,0.024,0.291352724,[None],22,Other non-HH Prototype,-0.48
1095,GdZnAl,0.024,0.126312443,AsHgK (P63/mmc),18,Common non-HH Prototype,0.06
1337,LuIrGe,0.024,0.298616238,MgSrSi (Pnma),16,Common non-HH Prototype,-0.03
511,CeMgSi,0.023,0.169296906,phase_separating,15,Phase Separating,0.5
59,GdAgGe,0.023,0.153043634,MoNiP (P-62m),18,Common non-HH Prototype,0.37
1595,LuPtSb,0.023,0,Half Heusler (F-43m),18,Half Heusler,0.91
1792,ZrCoSb,0.023,0,Half Heusler (F-43m),18,Half Heusler,-0.37
1212,MnCuSb,0.023,0.120689718,Half Heusler (F-43m),23,Half Heusler,-0.86
1418,TiNiAl,0.023,0.202822301,[MgZn2],17,Other non-HH Prototype,0.84
1919,TaMoNi,0.023,0.734598696,phase_separating,21,Phase Separating,0.7
331,AuSiTe,0.023,0.414228609,phase_separating,21,Phase Separating,0.01
103,HfNiAs,0.023,0.192766058,[HoNiGa],19,Other non-HH Prototype,0.83
